Hindi Occupations,Marathi Occupations,Gendered occupations
मुनीम,दिवाणजी,"""नर्तक"",""नर्तकी"""
परिचित,माहितीचा,"""अभिनेता"",""अभिनेत्री"""
प्रशासक,प्रशासक,"""गायक"",""गायिका"""
वकील,विधिज्ञ,"""सेवक"",""सेविका"""
कलाकार,कलाकार,"""शिक्षक"",""शिक्षिका"""
वास्तुकार,वास्तुविशारद,"""मालिक"",""मालकिन"""
राजनेता,राजकीय पुढारी,"""लेखक"",""लेखिका"""
नाई,न्हावी,"""नौकर"",""नौकरानी"""
दूत,दूत,
विश्लेषक,विश्लेषक,
पुरातत्त्ववेत्ता,पुरातत्वशास्त्रज्ञ,
दलाल,दलाल,
बावर्ची,आचारी,
सैनिक,शिपाई,
किसान,शेतकरी,
व्यापारी,उद्योगपती,
सिपाही,सैनिक,
हत्यारा,खूनी,
वैज्ञानिक,शास्त्रज्ञ,
पहलवान,पैलवान,
मज़दूर,मजूर,
योद्धा,योद्धा,
प्रबंधक,व्यवस्थापक,
नागरिक,नागरिक,
पादरी,पाद्री,
कुलाधिपति,कुलपती,
बढ़ई,सुतार,
बैंकर,बँकर,
सभासद,सदस्य,
पुरोहित,पुजारी,
नर्स,परिचारिका,
चित्रकार,चित्रकार,
मध्यस्थ,मध्यस्थ,
मंत्री,मंत्री,
कसाई,खाटीक,
सहायक प्रोफेसर,सहायक प्राध्यापक,
अंतरिक्ष यात्री,अंतराळवीर,
खगोल विज्ञानी,खगोलशास्त्रज्ञ,
एथलीट,धावपटू,
प्रतिनिधि,प्रतिनिधी,
बेकर,बेकर,
बैरिस्टर,बॅरिस्टर,
बॉक्सर,मुष्टीयोद्धा,
व्यवसायी,उद्योगपती,
टैक्सी चालक,टॅक्सी चालक,
कैबी,कॅबी,
कैमरामैन,कॅमेरामन,
कप्तान,कर्णधार,
हृदय रोग विशेषज्ञ,हृदयरोगतज्ज्ञ,
देख भाल करने वाला,काळजी घेणारा,
बावर्ची,आचारी,
रसायनज्ञ,रसायनशास्त्रज्ञ,
कोरियोग्राफर,नृत्य दिग्दर्शक,
छायाकार,छायाचित्रकार,
नागरिक,नागरिक,
सिविल सेवक,नागरी सेवक,
कोच,प्रशिक्षक,
कर्नल,कर्नल,
स्तंभकार,स्तंभलेखक,
कमांडर,कमांडर,
आयुक्त,आयुक्त,
संगीतकार,संगीतकार,
कंडक्टर,वाहक,
सलाहकार,सल्लागार,
पुलिस,पोलीस,
संवाददाता,पत्रकार,
काउंसलर,सल्लागार,
जेहादी,जिहादी,
संग्रहाध्यक्ष,जिल्हाधिकारी,
संरक्षक,संरक्षक,
डीन,अधिष्ठाता,
दंत चिकित्सक,दंतवैद्य,
त्वचा विशेषज्ञ,त्वचाशास्त्रज्ञ,
जासूस,गुप्तहेर,
डिस्क जॉकी,डिस्क जॉकी,
चिकित्सक,चिकित्सक,
कर्मचारी,सेवक,
उद्यमी,उद्योजक,
पर्यावरणविद्,हवामानशास्त्रज्ञ,
फैशन डिजाइनर,वेशभूषाकार,
लड़ाकू विमान चालक,लढाऊ वैमानिक,
अग्निशामक,अग्नीरोधक,
भूविज्ञानी,भूगर्भशास्त्रज्ञ,
गोलकीपर,गोलरक्षक,
ग्राफिक डिजाइनर,ग्राफिक डिझायनर,
गिटारवादक,गिटार वादक,
इतिहासकार,इतिहासकार,
हिटमैन,हिटमॅन,
इलस्ट्रेटर,रेखा चित्रकार,
उद्योगपति,उद्योगपती,
क्षेत्ररक्षक,क्षेत्ररक्षक,
आंतरिक डिज़ाइनर,इंटिरियर डिझायनर,
आविष्कारक,शोधक,
निरीक्षक,निरीक्षक,
चौकीदार,पहारेकरी,
जौहरी,सोनार,
पत्रकार,पत्रकार,
न्यायाधीश,न्यायाधीश,
विधिवेत्ता,कायदेतज्ज्ञ,
व्याख्याता,व्याख्याता,
विधायक,आमदार,
मजिस्ट्रेट,दंडाधिकारी,
लक्ष्यभेदी,लक्ष्यभेदी,
मार्शल,मार्शल,
गणितज्ञ,गणितज्ञ,
मैकेनिक,मेकॅनिक,
मध्यस्थ,मध्यस्थ,
चिकित्सक,चिकित्सक,
मिडफील्डर,मध्य क्षेत्ररक्षक,
मंत्री,मंत्री,
मिशनरी,ख्रिस्ती धर्म प्रसारक,
डकैत,डाकू,
संगीतकार,संगीतकार,
कथावाचक,निवेदक,
प्रकृतिवादी,निसर्गवादी,
मध्यस्थ,मध्यस्थ,
न्यूरोलॉजिस्ट,मेंदूविकार तज्ज्ञ,
न्यूरोसर्जन,मेंदूविकार शल्यचिकित्सक,
उपन्यासकार,कादंबरीकार,
अफ़सर,अधिकारी,
चित्रकार,चित्रकार,
फार्मेसिस्ट,औषधविक्रेता,
लोकोपकारक,परोपकारी,
दार्शनिक,तत्वज्ञानी,
फोटोग्राफर,छायाचित्रकार,
पियानोवादक,पियानोवादक,
प्लास्टिक सर्जन,त्वचा शल्यचिकित्सक,
नाटककार,नाटककार,
राजनीतिज्ञ,राजकारणी,
पुजारी,पुजारी,
प्रधान,प्रधान,
प्रोफ़ेसर,प्राध्यापक,
प्रोफ़ेसर एमेरिटस,प्रोफेसर एमेरिटस,
प्रोग्रामर,संगणक अभियंता,
प्रमोटर,प्रवर्तक,
आश्रित,अवलंबून,
जेलर,तुरुंग अधिकारी,
मनोविज्ञानी,मानसशास्त्रज्ञ,
पत्रकार,पत्रकार,
रेंजर,वनाधिकारी,
रियाल्टार,बांधकाम व्यावसायिक,
रिसेप्शनिस्ट,स्वागतिका,
नाविक,खलाशी,
सेंट,सेंट.,
सैक्सोफोनिस्ट,सॅक्सोफोनिस्ट,
सचिव,सचिव,
सीनेटर,सिनेटचा सदस्य,
नौकर,नोकर,
शेरिफ_डिप्टी,शेरीफ_डेप्युटी,
दुकानदार,दुकानदार,
कप्तान,कर्णधार,
समाजशास्त्री,समाजशास्त्रज्ञ,
फोजी,शिपाई,
एकल कलाकार,एकल कलाकार,
खिलाड़ी,खेळाडू,
प्रबंधक,व्यवस्थापक,
रणनीतिज्ञ,रणनीतिकार,
स्टाइलिस्ट,स्टायलिस्ट,
सर्वेक्षक,सर्वेक्षक,
तैराक,पोहणारा,
टैक्सी ड्राइवर,टॅक्सी चालक,
तकनीशियन,तंत्रज्ञ,
व्यापारी,उद्योगपती,
सैनिक,शिपाई,
कुलपति,कुलगुरू,
वेल्डर,वेल्डर,
