Hindi Occupations,Marathi Occupations,Gendered occupations
मुनीम,मुनीम,"""नर्तक"",""नर्तकी"""
परिचित,परिचीत,"""अभिनेता"",""अभिनेत्री"""
प्रशासक,प्रशासक,"""गायक"",""गायिका"""
वकील,विधिज्ञ,"""सेवक"",""सेविका"""
कलाकार,कलाकार,"""शिक्षक"",""शिक्षिका"""
वास्तुकार,वास्तु विशारद,"""मालिक"",""मालकिन"""
राजनेता,राजकारणी,"""लेखक"",""लेखिका"""
नाई,न्हावी,"""नौकर"",""नौकरानी"""
दूत,दूत,
विश्लेषक,विश्लेषक,
पुरातत्त्ववेत्ता,भूगर्भशास्त्रज्ञ,
दलाल,दलाल,
बावर्ची,आचारी,
सैनिक,सैनिक,
किसान,शेतकरी,
व्यापारी,व्यापारी,
सिपाही,शिपाई,
हत्यारा,खुनी,
वैज्ञानिक,शास्त्रज्ञ,
पहलवान,पहिलवान,
मज़दूर,मजूर,
योद्धा,योद्धा,
प्रबंधक,व्यवस्थापक,
नागरिक,नागरिक,
पादरी,पाद्री,
कुलाधिपति,कुलगुरु,
बढ़ई,सुतार,
बैंकर,बॆंकर,
सभासद,सभासद,
पुरोहित,पुजारी,
नर्स,परिचारीका,
चित्रकार,चित्रकार,
मध्यस्थ,मध्यस्थ,
मंत्री,मंत्री,
कसाई,खाटीक,
सहायक प्रोफेसर,सह अधिव्याख्याता,
अंतरिक्ष यात्री,अंतराळ वीर,
खगोल विज्ञानी,खगोल शास्त्रज्ञ,
एथलीट,खेळाडू,
प्रतिनिधि,प्रतिनिधी,
बेकर,मुष्टीयोद्धा,
बैरिस्टर,व्यावसायीक,
बॉक्सर,टॅक्सी चालक,
व्यवसायी,काळजीवाहक,
टैक्सी चालक,खानसामा,
कैबी,रसायन शास्त्रज्ञ,
कैमरामैन,नृत्य  दिग्दर्शक,
कप्तान,छायाचित्रकार,
हृदय रोग विशेषज्ञ,मार्गदर्शक,
देख भाल करने वाला,स्तंभलेखक,
बावर्ची,आयुक्त,
रसायनज्ञ,संगीतकार,
कोरियोग्राफर,वाहक,
छायाकार,सल्लागार,
नागरिक,पोलीस,
सिविल सेवक,वार्ताहर,
कोच,समुपदेशक,
कर्नल,संरक्षक,
स्तंभकार,गुप्तहेर,
कमांडर,कर्मचारी,
आयुक्त,उद्योजक,
संगीतकार,पर्यावरण तज्ञ,
कंडक्टर,गोली,
सलाहकार,इतिहास कार,
पुलिस,उद्योगपति,
संवाददाता,क्षेत्ररक्षक,
काउंसलर,संशोधक,
जेहादी,रखवालदार,
संग्रहाध्यक्ष,रत्नपाररखी,
संरक्षक,पत्रकार,
डीन,न्यायाधीश,
दंत चिकित्सक,व्याख्याता,
त्वचा विशेषज्ञ,आमदार,
जासूस,न्यायाधिश,
डिस्क जॉकी,डाकू,
चिकित्सक,निसर्ग वादी,
कर्मचारी,मेंदूरोग तज्ञ,
उद्यमी,कादंबरीकार,
पर्यावरणविद्,अधिकारी,
फैशन डिजाइनर,औषध विक्रेता,
लड़ाकू विमान चालक,द्रष्टा,
अग्निशामक,व्याख्याता,
भूविज्ञानी,स्वागतक,
गोलकीपर,संत,
ग्राफिक डिजाइनर,सचिव,
गिटारवादक,नोकर,
इतिहासकार,एकपात्री कलाकार,
हिटमैन,खेळाडू,
इलस्ट्रेटर,युद्ध सल्लागार,
उद्योगपति,केश रचनाकार,
क्षेत्ररक्षक,जलतरण पटू,
आंतरिक डिज़ाइनर,तंत्रज्ञ,
आविष्कारक,,
निरीक्षक,,
चौकीदार,,
जौहरी,,
पत्रकार,,
न्यायाधीश,,
विधिवेत्ता,,
व्याख्याता,,
विधायक,,
मजिस्ट्रेट,,
लक्ष्यभेदी,,
मार्शल,,
गणितज्ञ,,
मैकेनिक,,
मध्यस्थ,,
चिकित्सक,,
मिडफील्डर,,
मंत्री,,
मिशनरी,,
डकैत,,
संगीतकार,,
कथावाचक,,
प्रकृतिवादी,,
मध्यस्थ,,
न्यूरोलॉजिस्ट,,
न्यूरोसर्जन,,
उपन्यासकार,,
अफ़सर,,
चित्रकार,,
फार्मेसिस्ट,,
लोकोपकारक,,
दार्शनिक,,
फोटोग्राफर,,
पियानोवादक,,
प्लास्टिक सर्जन,,
नाटककार,,
राजनीतिज्ञ,,
पुजारी,,
प्रधान,,
प्रोफ़ेसर,,
प्रोफ़ेसर एमेरिटस,,
प्रोग्रामर,,
प्रमोटर,,
आश्रित,,
जेलर,,
मनोविज्ञानी,,
पत्रकार,,
रेंजर,,
रियाल्टार,,
रिसेप्शनिस्ट,,
नाविक,,
सेंट,,
सैक्सोफोनिस्ट,,
सचिव,,
सीनेटर,,
नौकर,,
शेरिफ_डिप्टी,,
दुकानदार,,
कप्तान,,
समाजशास्त्री,,
फोजी,,
एकल कलाकार,,
खिलाड़ी,,
प्रबंधक,,
रणनीतिज्ञ,,
स्टाइलिस्ट,,
सर्वेक्षक,,
तैराक,,
टैक्सी ड्राइवर,,
तकनीशियन,,
व्यापारी,,
सैनिक,,
कुलपति,,
वेल्डर,,
